code,file,drawn_size_mm,legend,check,intervene,notes
G1-1,Guide Signs/A30_SYDNEY_A85_PLUMPTON_HAWKER_GREEN_G1-1.svg,2600x1510,A30 Sydney / A85 SALTASH HWY Plumpton Hawker,ok,," Drawing is rotated 90 deg on the page (text reads bottom-to-top); transcribed in true orientation 2600 wide x 1510 high. Green edge 20 + white border 20 (the 40/20 dims), R100. Two stacked green panels R40 at the 20 white divider (y 440-460), outer corners concentric R60. Top panel: up arrow (250 long, 220 wide) centred on x 455 (the 273 gap is dimensioned to the arrow centreline) between y 115 and 365; A30 160 E and Sydney 160 Emod on baseline 320 (top 160). Bottom panel: A85 160 E centred on y 1015 (the 555 from the divider is to the arrow/route-number centreline), right arrow 250x220 at x 2215-2465; road-name panel 1239x240 R40 at x 157, y 550 with SALTASH HWY 120 D (60 margins); Plumpton baseline 1070 (280 below panel), Hawker baseline 1350 (280 lower), 160 bottom margin. INCONSISTENCIES: the right-hand chain reads 135+250+160+459+200+1279+157 = 2640 (sign is 2600) and the road-name panel detail says 1239, so 1279 is taken as a misprint for 1239. The top chain 320+900+290 = 1510: the line at 1220 from the top does not correspond to any element I can identify (not used). Straight arrow on the top panel is the drawn (up) orientation; the same arrow rotated 90 deg clockwise for the right arrow. QA: right arrow box given in the arrow's native (up) orientation 220x250 centred on (2340,1015) then rotated 90."
G1-2,Guide Signs/HOLLEY_A15_SUNNYSIDE_MARTINS_CK_GREEN_G1-2.svg,2100x1450,Holley A15 / Sunnyside / Martins Ck,ok,,"symbol:g1-2_arrow_curved_right 2100x1450, R100, green edge 20 + white border 20 (40/20 dims). Three stacked green panels R40 at the two 20 white dividers (y 570-590 and 990-1010), outer corners R60. Line 1: Holley and A15 baseline 385 (top 225); curved arrow between 130 from top and 350 below that (bbox 290x350 at x 1675). Line 2: arrow and Sunnyside centred on y 790 (200 below divider); Sunnyside top 710. Line 3: Martins Ck baseline 1290 (280 below divider), top 1130; right arrow centred y 1210 (340 below Sunnyside baseline). 'Martins Ck' is dimensioned as one 1351 ink width; word gap 123 derived as 1351 - ink(Martins 948) - ink(Ck 280) (expect_total is the drawing figure). Right arrow = left arrow flipped."
G1-3,Guide Signs/A30_SYDNEY_A85_HAWKER_PLUMPTON_DIAGRAM_GREEN_G1-3.svg,3550x2060,A30 Sydney / A85 SALTASH HWY Hawker / A85 SALTASH HWY Plumpton,ok,," Drawing rotated 90 deg on the page; transcribed in true orientation 3550 wide x 2060 high. Green edge 20 + white border 20, R100. Intersection diagram drawn as a polygon from the 1540-grid detail: through bar 120 wide x 1540 long (y 400-1940, x 1710-1830, i.e. 1145+565 from the left per the 1145/1265/1145 chain) with a 60-long point at the top; right arm 580 long at 360 below the bar tip (y 760-880) and left arm 565 long at 720 below the tip (y 1120-1240), both with 60-long points; R30 (typ.) applied at the four concave corners only. Text: A30/Sydney baseline 320; upper A85 baseline 900 (centred on the right arm), upper road-name panel 1262x240 R40 at y 1020, Hawker baseline 1540; lower A85 baseline 1260 (centred on the left arm), lower panel at y 1380, Plumpton baseline 1900. Horizontal positions from the right-hand chains (560/459/1507/459/565, 158/1262/704/1262/163, 340/903/918/1190/199). INCONSISTENCY: chain 158+1262+704+1262+163 = 3549, not 3550 (1 mm; lower panel taken at x 164 so that 704 and the 1262 lengths hold). Diagram centreline x 1770 is 5 mm left of the sign centre as dimensioned."
G1-4,Guide Signs/A40_MT_MARTIN_HWY_SUNNYSIDE_MARY_HILL_HAWKER_GREEN_G1-4.svg,2400x1460,A40 MT MARTIN HWY / Sunnyside / Mary Hill / Hawker,ok,," 2400x1460 R100, green edge 20 + white border 20. A40 baseline 330 (top 170); road-name panel 1380x240 R40 at x 835, y 130 (MT MARTIN HWY 120 D, 60|1260|60); Sunnyside baseline 650, right arrow centred y 570 (200 below the panel); Mary Hill baseline 1020 (450 below 570), Hawker baseline 1300 (280 lower), 160 bottom margin; left arrow centred y 1080 (430 below the Sunnyside baseline / 380 from the bottom). INCONSISTENCY: right-hand chain 130+180+200+450+280+160 = 1400 (sign 1460): the 180 must be the 240 road-name panel height (120 D + 2x60), used as 240. 'Mary Hill' word gap 112 derived from the stated 1116 total (Mary 595 + Hill 408). MT MARTIN HWY 120 D: panel detail gives 60|1260|60 = 1380; at AS 1744 letter spacing the three words are 186+545+317, so the two word gaps are derived as 106 each (1260 total) rather than the font's 120 word space."
G1-5,Guide Signs/A30_SYDNEY_A85_HAWKER_PLUMPTON_ROUNDABOUT_GREEN_G1-5.svg,3800x1910,A30 Sydney / A85 SALTASH HWY Hawker / A85 SALTASH HWY Plumpton,ok,," Drawing rotated 90 deg on the page; transcribed in true orientation 3800 wide x 1910 high. Green edge 20 + white border 20, R100. Vertical chain (both sides): A30/Sydney baseline 320; A85 baseline 1110 (790 below); panels 1230-1470; Hawker/Plumpton baseline 1750; 160 bottom margin. Horizontal from the right-hand chains: 545/459/1792/459/545 (A85s), 144/1262/989/1262/143 (panels), 322/905/1191/1192/190 (names), 1118/1560/1122 (symbol). Symbol bbox: x 1122-2682 (1560), top at 420 from the top edge; height taken as 1270 from the symbol detail (550+120+600). INCONSISTENCY: the top chain reads 420+1330+160 = 1910, i.e. 1330 for the symbol where the detail gives 1270 (the 1330 line coincides with the Hawker/Plumpton baseline); detail value used. The A85 route numbers sit on the ring centre line (y 1030) and the approach stem is centred at x 1902. QA: roundabout drawn from the detail's dimensions instead of a trace (the drawing is rotated): ring R360/R240 centred (1902,1030) = box x 1122-2682, y 420-1690; stems 120 wide with 60 pointed tips (right exit tip 2682, left exit tip 1122, diagonal exit at 30 deg from the vertical with its tip at (1549,420), approach flat-ended at y 1690); the ring is omitted between the two radial cuts 30 deg from the right exit and 30 deg from the approach (the two 30 deg notes), i.e. the lower-right sector between screen angles 30 and 60 deg."
G1-6,Guide Signs/A32_MELBOURNE_BURKE_RD_MARTINS_CK_B97_HOLLEY_GREEN_TALL_G1-6.svg,1650x2510,A32 Melbourne / BURKE RD Martins Ck B97 / Holley B97,ok,," 1650x2510 R100, green edge 20 + white border 20; two green panels R40 at the 20 white divider (y 730-750), outer corners R60. Top panel: A32 baseline 325 (top 165), up arrow 250 high between 120 and 370 from the top, centred on x 1135 (405+460+270 is to the arrow centreline, 515 to the right edge), Melbourne baseline 610. Bottom panel: BURKE RD panel 922x240 R40 at y 840 (470 below the arrow bottom), Martins Ck baseline 1360, B97 baseline 1640, left arrow (334 long) centred y 1560 (810 below the divider); 20 white rule 1330 long at y 1760-1780 (160 in from each side); Holley baseline 2060, B97 baseline 2350, right arrow centred y 2270, 240 bottom margin (160 below B97 baseline). Left arrow dimensioned 335 on the sign vs 334 (191+143) in the detail. INCONSISTENCY: the drawing's rows give 149|1351|150 and 180|1289|181; AS 1744 spacing makes Melbourne 1289 and Martins Ck 1351 (as on G1-2), so the two rows are taken as swapped: Melbourne x 180 (1289), Martins Ck x 149 (1351, word gap 123 derived). Up arrow = G1-2 left arrow rotated 90 deg clockwise. QA: up arrow box given in the G1-2 arrow's native (left) orientation 251x220 centred on (1135,245) then rotated 90."
G1-7,Guide Signs/BIRDVILLE_A95_THOMAS_WAY_PLUMPTON_B269_DIAGRAM_GREEN_G1-7.svg,1870x2190,Birdville A95 / THOMAS WAY Plumpton B269,ok,," 1870x2190 R100, green edge 20 + white border 20. Vertical chain: Birdville top 130 (160 Emod), 110 gap, A95 top 400 (160 E); THOMAS WAY panel 240 high, 60 gap, Plumpton 160 Emod, 110 gap, B269 160 E, 550 to the bottom -> B269 top 1480, Plumpton top 1210, panel y 910-1150. Stated horizontals: Birdville right edge 160 from the right (x 1710); Plumpton/B269 left edge 260 (the 260 is drawn under B269; Plumpton is drawn flush with it); diagram right edge 200 from the right, bottom 100 from the bottom. No ink widths are given for any word. UNDIMENSIONED (values are pixel estimates from the drawing, not stated): A95 horizontal position (drawn with its right edge about 1410, flush with the road-name panel's right edge); THOMAS WAY panel x (panel width taken as 120 D ink 1073 + 2x60 = 1193 with its right edge at about 1410; the drawn panel scales to only about 1120 wide); the diagram's width and height (750 x 1750 read off the 100 grid of the detail). QA: diagram drawn as a polygon measured against the detail's 100 grid (not traced): through stem 100 wide x 1745 high (x 1570-1670, y 345-2090) with a 55 pointed tip; exit arm 100 wide at 30 deg from horizontal leaving the stem's left edge between y 1772 and 1888 (R30 at the upper junction) to a 45 deg pointed tip at (934,1463); overall 736 x 1745."
G10-3,Guide Signs/W_4_ROUTE_MARKER_GREEN_SHIELD_G10-3.svg,450x450,W 4,ok,," Shield: 250 wide at the top, 450 at the bottom, 450 tall, R25 top corners, R50 bottom corners; 10 green edge + 10 white border (20 total) drawn as inset polygons on a white ground. Six variants on the one drawing (W/4, WW/4, W/44, WW/44, W/444, WW/444): first (W over 4) written. Letters 140 E (WW is 140 C), numerals 140 E (444 is 140 C); stack 50|140|70|140|50, centred (* variable widths)."
G10-4,Guide Signs/NATIONAL_ROUTE_PLATE_GREEN_LONG_SKINNY_G10-4.svg,450x120,NATIONAL,ok,," 10 green edge + 10 white border (20 total, bottom callout 10). NATIONAL 50 D yellow, 35|50D|35, 68|314|68. Mounted under G10-3 (example layout)."
G10-5,Guide Signs/W_4_NATIONAL_ROUTE_MARKER_GREEN_SHIELD_G10-5.svg,450x450,W 4 NATIONAL,ok,," Shield as G10-3 (250/450 x 450, R25/R50, 10 green edge + 10 white border). Six variants on the one drawing; first (W over 4) written. Stack 38|110E|40|110E|40|12|18|50D|32: the 18 is read as the white separator band across the shield (y 350-368) above the NATIONAL panel, NATIONAL 50 D yellow tight under it (top 368), 314 wide centred. WW is 110 C, 444 is 110 C."
