code,file,drawn_size_mm,legend,check,intervene,notes
3403-3_P70-2,Temporary Signs/NEW_JUNCTION_AHEAD_YELLOW_LONG_3403-3_P70-2.svg,2000x1200,NEW JUNCTION AHEAD,width NEW: 602.8 vs drawing 646; width JUNCTION: 1505.8 vs drawing 1606; width AHEAD: 1032.7 vs drawing 1126,," Department of State Growth (formerly DIER) standard drawing, black line-work sheet; every dimension from the sheet unless stated. Series/heights as the sheet's letter-type note; AS 1744 (plus0) spacing, so widths differ from the sheet's figures where its spacing is wider (the TAS sheets' 'medium'/'75%' spacing runs about 7% wider than AS 1744 normal spacing). Sheet 3403-3/P70-2 'Standard warning sign — New junction ahead' (1994). B size 2000 x 1200, 75 rad, no border, black on Class 1 yellow; 240 Series D: rows 120/240/120/240/120/240/120; widths 677/646/677, 197/1606/197, 437/1126/437 (sheet letter tables). AS 1744 widths 603/1506/1033 (sheet about 7% wider). A size 1500 x 900, 180 D (486/1206/844) on the same sheet, not generated. Sign to remain about 3 months after completion of new work."
3403-3_P71-2,Temporary Signs/NEW_ROUNDABOUT_AHEAD_YELLOW_LONG_3403-3_P71-2.svg,2400x1200,NEW ROUNDABOUT AHEAD,width NEW: 602.8 vs drawing 646; width ROUNDABOUT: 2070.3 vs drawing 2022; width AHEAD: 1032.7 vs drawing 1126,," Department of State Growth (formerly DIER) standard drawing, black line-work sheet; every dimension from the sheet unless stated. Series/heights as the sheet's letter-type note; AS 1744 (plus0) spacing, so widths differ from the sheet's figures where its spacing is wider (the TAS sheets' 'medium'/'75%' spacing runs about 7% wider than AS 1744 normal spacing). Sheet 3403-3/P71-2 'Standard warning sign — New roundabout ahead' (1994). B size 2400 x 1200, 75 rad, no border, black on Class 1 yellow; 240 Series D: rows 120/240/120/240/120/240/120; widths 877/646/877, ROUNDABOUT 2022 per the sheet's letter table (the dimension line says 189/1606/189, a figure copied from the New Junction sheet: 189 + 1606 + 189 is not 2400), 637/1126/637. A size 1800 x 900, 180 D (486/1518/844) not generated."
3403-3_P92,Warning Signs/CAUTION_ICE_SLIPPERY_GREEN_TALL_3403-3_P92.svg,1200x2150,CAUTION ICE,width CAUTION: 900.3 vs drawing 962; width ICE: 748.2 vs drawing 780,,"symbol:w5-20_slippery_car Department of State Growth (formerly DIER) standard drawing, black line-work sheet; every dimension from the sheet unless stated. Series/heights as the sheet's letter-type note; AS 1744 (plus0) spacing, so widths differ from the sheet's figures where its spacing is wider (the TAS sheets' 'medium'/'75%' spacing runs about 7% wider than AS 1744 normal spacing). Sheet 3403-3/P92 'Slippery - ice warning sign type 1' (2002), hinged fold-out sign 1200 x 2150, 50 rad. Top panel 1100: a W5-20 slippery diamond (black on Class 1 yellow, yellow edge 10 / black border 20 / R50 as AS 1743 W5-20) on a standard green background; the diamond is not dimensioned: measured on the sheet 1010 across the diagonals (side 715; a W5-20 B size would be 750 / 1061), centred in the top panel (top 50). Lower panel 1050, Class 1 yellow with 20 black border and 10 outer yellow edge; CAUTION 200 Series C '75% spacing' top 1270 (170 below the panel joint), ICE 340 Series E top 1620 (rows 170/200/150/340/190). The sheet's width figures are swapped between the lines (220/780/200 against CAUTION, 110/962/128 against ICE): the drawn CAUTION measures 958 and ICE 780, so expect CAUTION 962 / ICE 780 (AS 1744: 900 / 748). Legend centred (the sheet's margins are 1 cm off-centre)."
3403-5_P406-1,,,(fingerboard sign details: A2 Destination 10 / B23 Place Name 5 Destination 10 / C234 Town 5 Destination 10 (City) 100),"SKIPPED: standard fingerboard details: 1DL/1DR/2DL/2DR/3DL/3DR templates with variable widths (V1-V5, 'variable (V4)') and placeholder legends (Destination, Place Name, Town), plus route-code panels; direction (guide) signs are not generated for the platform (as G-series in the national pack) and a template with no fixed legend cannot be a sign file",,
3403-5_P411-1,,,(direction sign standard details),"SKIPPED: standard details, not a sign face: border width (25 black, 20 edge) and corner radii (75/55/30), word spacing example ('Hobart'), direction arrow dimension table, oblique arrow layout, national route shield",,
3403-5_P514,Regulatory Signs/SPEED_CAMERAS_MAY_OPERATE_IN_THIS_AREA_WHITE_WIDE_3403-5_P514.svg,1500x600,SPEED CAMERAS MAY OPERATE IN THIS AREA,width SPEED: 473.1 vs drawing 518; width CAMERAS: 719.3 vs drawing 784; width MAY: 324.2 vs drawing 346; width OPERATE: 673.6 vs drawing 733; width IN: 129.7 vs drawing 142; width THIS: 324.2 vs drawing 357; width AREA: 408.2 vs drawing 442,," Department of State Growth (formerly DIER) standard drawing, black line-work sheet; every dimension from the sheet unless stated. Series/heights as the sheet's letter-type note; AS 1744 (plus0) spacing, so widths differ from the sheet's figures where its spacing is wider (the TAS sheets' 'medium'/'75%' spacing runs about 7% wider than AS 1744 normal spacing). Sheet 3403-5/P514 'Speed camera advisory sign' (sideways A4 sheet). 1500 x 600, black legend on Class 1 white, no border drawn, corner radius not stated (measured about 40). 120 Series D '75% spacing': rows 60/120/60/120/60/120/60; widths 50/518/98/784/50, 171/346/90/733/160, 195/142/90/357/90/442/184 (AS 1744 plus0: 473/719, 324/674, 130/324/408 — the sheet's spacing is about 9% wider). Filed under Regulatory Signs (speed enforcement advisory); no AS 1743 code on the sheet."
G9-101,,,RESIDENTIAL AREA AVOID USING ENGINE BRAKES,EXCLUDED: Guide Signs,,
G_10_649-A,Warning Signs/SECTIONS_OF_THIS_ROAD_FROST_ICE_SNOW_YELLOW_LONG_G_10_649-A.svg,2100x900,SECTIONS OF THIS ROAD ARE SUBJECT TO FROST ICE SNOW DRIVE WITH CARE,width SECTIONS: 725.3 vs drawing 706; width OF: 186.1 vs drawing 178; width TO: 175.3 vs drawing 171; width FROST: 641.4 vs drawing 608; width SNOW: 572.9 vs drawing 556; width DRIVE: 593.8 vs drawing 643; width CARE: 546.2 vs drawing 575,," Department of State Growth (formerly DIER) standard drawing, black line-work sheet; every dimension from the sheet unless stated. Series/heights as the sheet's letter-type note; AS 1744 (plus0) spacing, so widths differ from the sheet's figures where its spacing is wider (the TAS sheets' 'medium'/'75%' spacing runs about 7% wider than AS 1744 normal spacing). Sheet G/10/649 'Frost ice & snow warning sign type 3' (2002, rev A 2013), Panel A: 2100 x 900, black legend on Class 1 yellow, no border drawn, corner radius not stated (measured about 75). Lines 1-2 120 Series D '50% spacing', lines 3-4 140 Series E '60% spacing'; vertical 75/120/60/120/100/140/70/140/75. Widths 112/706/90/178/80/323/100/398/113, 397/297/90/665/80/171/400, 130/608/95/478/105/556/128, 196/643/100/306/100/575/180: the ICE (478) and WITH (306) figures cannot be right for 140 E (about 310 and 460) and are not checked. Panel A is hinged along the centreline to show an optional safety message (options 1-3 on the sheet, with logos: not generated) and is installed 150 above Panel B."
G_10_649-B,Warning Signs/EMERGENCY_TELEPHONE_NUMBERS_WHITE_WIDE_SKINNY_G_10_649-B.svg,2100x400,"Emergency Telephone Numbers POLICE, FIRE & AMBULANCE 000 ROAD & BRIDGE EMERGENCY 1800 005 282 RACT ROADSIDE ASSIST 13 1111",ok,," Department of State Growth (formerly DIER) standard drawing, black line-work sheet; every dimension from the sheet unless stated. Series/heights as the sheet's letter-type note; AS 1744 (plus0) spacing, so widths differ from the sheet's figures where its spacing is wider (the TAS sheets' 'medium'/'75%' spacing runs about 7% wider than AS 1744 normal spacing). Sheet G/10/649 Panel B: 2100 x 400 Class 1 white, no border drawn, corner radius not stated (measured about 75). Line 1 70 Series E Modified in Class 1 red, other lines 50 Series E Modified black, 'spacing to suit' — nothing else is dimensioned: layout measured on the sheet (1:25): text column left at 171, numbers column at 1314, cap tops 46 / 158 / 238 / 318, word gaps as measured (40-68). The sheet's letters are about 12% narrower than E Mod at AS 1744 spacing, so the lines run a little longer here."
G_10_649-OPT,,,Speeding? Slow Down. / Alert? Stay Alive. / Tired? Stop. Rest.,"SKIPPED: optional safety messages (options 1-3 on the sheet, shown when Panel A is flapped closed): 140/105 Series E Modified 'spacing to suit', 'legend to be centrally positioned by eye', with DIER, Road Safety Advisory Council and RACT logos 'to be provided by DIER if required' — logos not available, layout not dimensioned",,
